TERM	SYMBOL	CATEGORY	LIST
CM	RAF1		Compendium
CM	RB1		Compendium
CM	RET		Compendium
CM	RGPD3		Compendium
CM	SETD2		Compendium
CM	SF3B1		Compendium
CM	SLC45A3		Compendium
CM	SRGAP3		Compendium
CM	TCIRG1		Compendium
CM	TP53		Compendium
CM	TRRAP		Compendium
CM	UBR5		Compendium
CM	ZFX		Compendium
COREAD	ACVR2A		Compendium
COREAD	AMER1		Compendium
COREAD	APC		Compendium
COREAD	ARID1A		Compendium
COREAD	ARID1B		Compendium
COREAD	ATM		Compendium
COREAD	BCL9		Compendium
COREAD	BCL9L		Compendium
COREAD	BCOR		Compendium
COREAD	BCORL1		Compendium
COREAD	BIRC6		Compendium
COREAD	BMPR1A		Compendium
COREAD	BRAF		Compendium
COREAD	BRCA2		Compendium
COREAD	CARD11		Compendium
COREAD	CCDC6		Compendium
COREAD	CTNNB1		Compendium
COREAD	DICER1		Compendium
COREAD	DUSP16		Compendium
COREAD	EGFR		Compendium
COREAD	EIF3E		Compendium
COREAD	EP300		Compendium
COREAD	EPHA3		Compendium
COREAD	ERBB2		Compendium
COREAD	ERBB3		Compendium
COREAD	FANCD2		Compendium
COREAD	FAT3		Compendium
COREAD	FAT4		Compendium
COREAD	FBXW7		Compendium
COREAD	FLCN		Compendium
COREAD	GNAS		Compendium
COREAD	GRIN2A		Compendium
COREAD	HRAS		Compendium
COREAD	HSPG2		Compendium
COREAD	KMT2C		Compendium
COREAD	KRAS		Compendium
COREAD	LATS1		Compendium
COREAD	LRP1B		Compendium
COREAD	MAP2K1		Compendium
COREAD	MAP2K4		Compendium
COREAD	MAP3K1		Compendium
COREAD	MTCP1		Compendium
COREAD	MTOR		Compendium
COREAD	MYH9		Compendium
COREAD	NBEA		Compendium
COREAD	NCOR2		Compendium
COREAD	NF1		Compendium
COREAD	NIN		Compendium
COREAD	NRAS		Compendium
COREAD	PARP4		Compendium
COREAD	PCBP1		Compendium
COREAD	PIK3CA		Compendium
COREAD	PPP2R1A		Compendium
COREAD	PTEN		Compendium
COREAD	PTPN11		Compendium
COREAD	PTPRC		Compendium
COREAD	RBM10		Compendium
COREAD	RNF43		Compendium
COREAD	RNF6		Compendium
COREAD	SIRPA		Compendium
COREAD	SMAD2		Compendium
COREAD	SMAD3		Compendium
COREAD	SMAD4		Compendium
COREAD	SMARCA4		Compendium
COREAD	SOX9		Compendium
COREAD	TBX3		Compendium
COREAD	TCF7L2		Compendium
COREAD	TGFBR2		Compendium
COREAD	TGIF1		Compendium
COREAD	TP53		Compendium
COREAD	USP6		Compendium
