TERM	SYMBOL	CATEGORY	LIST
Type 1 T helper cell	HAVCR1	Adaptive	Immunome
Type 1 T helper cell	HSD11B1	Adaptive	Immunome
Type 1 T helper cell	HUNK	Adaptive	Immunome
Type 1 T helper cell	IGF2	Adaptive	Immunome
Type 1 T helper cell	RCSD1	Adaptive	Immunome
Type 1 T helper cell	RYR1	Adaptive	Immunome
Type 1 T helper cell	SAV1	Adaptive	Immunome
Type 1 T helper cell	SELE	Adaptive	Immunome
Type 1 T helper cell	SELP	Adaptive	Immunome
Type 1 T helper cell	SH3KBP1	Adaptive	Immunome
Type 1 T helper cell	SIT1	Adaptive	Immunome
Type 1 T helper cell	SLC35B3	Adaptive	Immunome
Type 1 T helper cell	SIGLEC10	Adaptive	Immunome
Type 1 T helper cell	SKAP1	Adaptive	Immunome
Type 1 T helper cell	THUMPD2	Adaptive	Immunome
Type 1 T helper cell	TIGIT	Adaptive	Immunome
Type 1 T helper cell	ZEB2	Adaptive	Immunome
Type 1 T helper cell	ENC1	Adaptive	Immunome
Type 1 T helper cell	FAM134B	Adaptive	Immunome
Type 1 T helper cell	FBXO30	Adaptive	Immunome
Type 1 T helper cell	FCGR2C	Adaptive	Immunome
Type 1 T helper cell	STAC	Adaptive	Immunome
Type 1 T helper cell	LTC4S	Adaptive	Immunome
Type 1 T helper cell	MAN1B1	Adaptive	Immunome
Type 1 T helper cell	MDH1	Adaptive	Immunome
Type 1 T helper cell	MMD	Adaptive	Immunome
Type 1 T helper cell	RGS16	Adaptive	Immunome
Type 1 T helper cell	IL12A	Adaptive	Immunome
Type 1 T helper cell	P2RX5	Adaptive	Immunome
Type 1 T helper cell	CD97	Adaptive	Immunome
Type 1 T helper cell	ITGB4	Adaptive	Immunome
Type 1 T helper cell	ICAM3	Adaptive	Immunome
Type 1 T helper cell	METRNL	Adaptive	Immunome
Type 1 T helper cell	TNFRSF1A	Adaptive	Immunome
Type 1 T helper cell	IRF1	Adaptive	Immunome
Type 1 T helper cell	HTR2B	Adaptive	Immunome
Type 1 T helper cell	CALD1	Adaptive	Immunome
Type 1 T helper cell	MOCOS	Adaptive	Immunome
Type 1 T helper cell	TRAF3IP2	Adaptive	Immunome
Type 1 T helper cell	TLR8	Adaptive	Immunome
Type 1 T helper cell	TRAF1	Adaptive	Immunome
Type 1 T helper cell	DUSP14	Adaptive	Immunome
Type 2 T helper cell	ASB2	Adaptive	Immunome
Type 2 T helper cell	CSRP2	Adaptive	Immunome
Type 2 T helper cell	DAPK1	Adaptive	Immunome
Type 2 T helper cell	DLC1	Adaptive	Immunome
Type 2 T helper cell	DNAJC12	Adaptive	Immunome
Type 2 T helper cell	DUSP6	Adaptive	Immunome
Type 2 T helper cell	GNAI1	Adaptive	Immunome
Type 2 T helper cell	LAMP3	Adaptive	Immunome
Type 2 T helper cell	NRP2	Adaptive	Immunome
Type 2 T helper cell	OSBPL1A	Adaptive	Immunome
Type 2 T helper cell	PDE4B	Adaptive	Immunome
Type 2 T helper cell	PHLDA1	Adaptive	Immunome
Type 2 T helper cell	PLA2G4A	Adaptive	Immunome
Type 2 T helper cell	RAB27B	Adaptive	Immunome
Type 2 T helper cell	RBMS3	Adaptive	Immunome
Type 2 T helper cell	RNF125	Adaptive	Immunome
Type 2 T helper cell	TMPRSS3	Adaptive	Immunome
Type 2 T helper cell	GATA3	Adaptive	Immunome
Type 2 T helper cell	BIRC5	Adaptive	Immunome
Type 2 T helper cell	CDC25C	Adaptive	Immunome
Type 2 T helper cell	CDC7	Adaptive	Immunome
Type 2 T helper cell	CENPF	Adaptive	Immunome
Type 2 T helper cell	CXCR6	Adaptive	Immunome
Type 2 T helper cell	DHFR	Adaptive	Immunome
Type 2 T helper cell	EVI5	Adaptive	Immunome
Type 2 T helper cell	GSTA4	Adaptive	Immunome
Type 2 T helper cell	HELLS	Adaptive	Immunome
Type 2 T helper cell	IL26	Adaptive	Immunome
Type 2 T helper cell	LAIR2	Adaptive	Immunome
